CC;European list coalition;alternative;national party;votes;comment
AT;PfE;no alternative;Freiheitliche Partei Österreichs – Die Freiheitlichen;893754;
AT;EPP;no alternative;Österreichische Volkspartei;864072;
AT;PES;no alternative;Sozialdemokratische Partei Österreichs;818287;
AT;Greens;EGP;Die Grünen – Die Grüne Alternative;390503;
AT;RENEW;ALDE;NEOS – Das neue Europa;357214;
AT;Left;no alternative;Kommunistische Partei Österreichs – KPÖ Plus;104245;
AT;none;no alternative;DNA – Demokratisch – Neutral – Authentisch;95859;
BE-NED;PfE;no alternative;Vlaams Belang;1034112;
BE-NED;ECR;EFA;Nieuw-Vlaamse Alliantie;995868;
BE-NED;EPP;no alternative;Christen-Democratisch en Vlaams;594968;
BE-NED;PES;no alternative;Vooruit;570067;
BE-NED;Greens;EGP;Groen;450781;
BE-NED;RENEW;ALDE;Open Vlaamse Liberalen en Democraten;410743;
BE-NED;Left;no alternative;Partij van de Arbeid van België;366285;
BE-NED;none;no alternative;Voor U;47243;
BE-NED;Greens;VOLT;Volt België;38713;
BE-FRA;RENEW;ALDE;Mouvement Réformateur;900413;
BE-FRA;PES;no alternative;Parti Socialiste;529697;
BE-FRA;Left;no alternative;Parti du travail de Belgique;397055;
BE-FRA;RENEW;EDP;Les Engagés;368668;
BE-FRA;Greens;EGP;Ecolo;259745;
BE-FRA;none;no alternative;DéFI;75243;
BE-FRA;none;no alternative;Gauche anticapitaliste;50578;
BE-DEU;EPP;no alternative;Christlich Soziale Partei;15169;
BE-DEU;none;no alternative;ProDG;7134;
BE-DEU;RENEW;ALDE;Perspektiven, Freiheit, Fortschritt;5891;
BE-DEU;none;no alternative;Vivant;5281;
BE-DEU;PES;no alternative;Sozialistische Partei;5131;
BE-DEU;Greens;EGP;Ecolo;4819;
BG;EPP;no alternative;ГЕРБ – СДС;474059;
BG;RENEW;ALDE;Движението за права и свободи;295092;
BG;coalition;no alternative;PP–DB;290865;Split by won seats
BG;RENEW;no alternative;Продължаваме промяната;193910;
BG;EPP;no alternative;Демократична България;96955;
BG;Greens;VOLT;Волт България;0;
BG;ESN;no alternative;Възраждане;281434;
BG;PES;no alternative;Българската социалистическа партия;141178;
BG;ECR;no alternative;Има такъв народ;121572;
BG;none;no alternative;Величие;81955;
BG;none;no alternative;Морал, единство, чест;51076;
BG;ECR;no alternative;ВМРО – Българско Национално Движение;42022;
BG;none;no alternative;Синя България;24917;
BG;Left;no alternative;Солидарна България;24685;
BG;none;no alternative;Център;20869;
BG;none;no alternative;Партията на зелените;17131;
BG;none;no alternative;Kuzman Iliev Iliev (Parteilos);11057;
BG;none;no alternative;Левицата!;10230;
BG;none;no alternative;Български възход;9510;
BG;Greens;EGP;Зелено движение;8347;
BG;none;no alternative;Глас народен;6921;
BG;none;no alternative;Пряка демокрация;5257;
BG;none;no alternative;Ние Идваме;4999;
BG;none;no alternative;Ние, гражданите;4937;
BG;none;no alternative;Единение;4302;
BG;none;no alternative;Български глас;2821;
BG;none;no alternative;Граждански блок;2310;
BG;none;no alternative;Коалиция на розите;2294;
BG;none;no alternative;Общество за нова България;2073;
BG;none;no alternative;Български национален съюз - Нова демокрация;1956;
BG;none;no alternative;За Велика България;1770;
BG;none;no alternative;Народна партия „Истината и само истината“;1733;
BG;none;no alternative;Българско национално обединение;983;
BG;none;no alternative;Български съюз за директна демокрация;895;
HR;EPP;no alternative;Hrvatska demokratska zajednica;256295;
HR;PES;no alternative;Socijaldemokratska partija Hrvatske;192314;
HR;ECR;no alternative;Domovinski pokret;65383;
HR;Greens;EGP;Možemo!;43890;
HR;RENEW;ALDE;ISTARSKI DEMOKRATSKI SABOR;41606;
HR;none;no alternative;Most nezavisnih lista–Bündnis;29824;
HR;none;no alternative;Pravo i Pravda;22214;
HR;none;no alternative;Odlučnost i pravednost;10219;
HR;none;no alternative;Ričard Nezavisni;8708;
HR;none;no alternative;Hrvatska stranka umirovljenika;5225;
HR;Left;no alternative;Radnička fronta;4684;
HR;none;no alternative;Umirovljenici zajedno–Bündnis;4294;
HR;none;no alternative;Pokret za životinje;3044;
HR;none;no alternative;Agrarna stranka - Pokret za hrvatsku poljoprivredu;2819;
HR;none;APEU;Stranka Ivana Pernara;2259;
HR;none;no alternative;Zelena alternativa – Održivi razvoj Hrvatske;1617;
HR;none;no alternative;Autohtona – Hrvatska stranka prava;1386;
HR;none;no alternative;Republika;1086;
HR;none;no alternative;Pokret za modernu Hrvatsku;991;
HR;none;no alternative;Hrvatska Stranka Građanskog Otpora;973;
HR;none;no alternative;Dalmatinska akcija;959;
HR;none;no alternative;Pravedna Hrvatska;957;
HR;none;no alternative;Javno Dobro;763;
HR;indipendents;no alternative;independents (HR);39;
CY;EPP;no alternative;Δημοκρατικός Συναγερμός;91316;
