country;seats;threshold;method
Austria;20;0.04;d'Hondt
Belgium-NED;13;0.05;d'Hondt
Belgium-FRA;8;0.05;d'Hondt
Belgium-DEU;1;0.05;d'Hondt
Bulgaria;17;0;Hare-Niemeyer
Croatia;12;0.05;d'Hondt
Cyprus;6;0.018;Quota
Czechia;21;0.05;d'Hondt
Denmark;15;0;d'Hondt
Estonia;7;0;d'Hondt
Finland;15;0;d'Hondt
France;71;0.05;d'Hondt
Germany;84;0;Sainte-Lague
Greece;21;0.03;d'Hondt
Hungary;21;0.05;d'Hondt
Ireland;14;0;STV
Italy;67;0.04;Hare-Niemeyer
Latvia;9;0.05;Sainte-Lague
Lithuania;11;0.05;Hare-Niemeyer
Luxembourg;6;0;d'Hondt
Malta;6;0;STV
Netherlands;31;0.0323;d'Hondt
Poland;46;0.05;d'Hondt
Portugal;21;0;d'Hondt
Romania;33;0.05;d'Hondt
Slovakia;15;0.05;Quota
Slovenia;9;0;d'Hondt
Spain;54;0;d'Hondt
Sweden;21;0.04;Sainte-Lague
