CC;European.list.coalition;alternative;national party;votes;comment;seats
DE;EPP;no alternative;Christlich Demokratische Union Deutschlands;8438975;;23
DE;Greens;EGP;Bündnis 90/Die Grünen;7677071;;21
DE;PES;no alternative;Sozialdemokratische Partei Deutschlands;5916882;;16
DE;ID;no alternative;Alternative für Deutschland;4104453;;11
DE;EPP;no alternative;Christlich-Soziale Union in Bayern;2355067;;6
DE;Left;no alternative;Die Linke;2056049;;5
DE;RENEW;ALDE;Freie Demokratische Partei;2028594;;5
DE;none;no alternative;Die PARTEI;899079;;2
DE;RENEW;EDP;Freie Wähler;806703;;2
DE;APEU;no alternative;Partei Mensch Umwelt Tierschutz;542226;;1
DE;none;no alternative;Ökologisch-Demokratische Partei;369869;;1
DE;ECPM;no alternative;Familien-Partei Deutschlands;273828;;1
DE;Greens;VOLT;Volt Deutschland;249098;;1
DE;Greens;EUPP;Piratenpartei Deutschland;243302;;1
DE;Greens;DiEM25;Demokratie in Europa – DiEM25;130229;;0
DE;none;no alternative;Nationaldemokratische Partei Deutschlands;101011;;0
DE;none;no alternative;Aktion Partei für Tierschutz;99780;;0
DE;none;no alternative;Partei für die Tiere Deutschland;85809;;0
DE;Greens;EFA;Bayernpartei;81880;;0
DE;none;no alternative;Graue Panther;76255;;0
DE;none;no alternative;Die Grauen – Für alle Generationen;71295;;0
DE;none;no alternative;Partei für Gesundheitsforschung;70869;;0
DE;none;no alternative;Bündnis für Innovation & Gerechtigkeit;68647;;0
DE;none;no alternative;Allianz für Menschenrechte, Tier- und Naturschutz;68572;;0
DE;ECPM;no alternative;Bündnis C – Christen für Deutschland;66327;;0
DE;none;no alternative;Partei der Humanisten;62604;;0
DE;none;no alternative;Ab jetzt…Demokratie durch Volksabstimmung;58400;;0
DE;none;no alternative;Feministische Partei Die Frauen;55293;;0
DE;ECR;no alternative;Liberal-Konservative Reformer;43961;;0
DE;none;no alternative;Bündnis Grundeinkommen;40818;;0
DE;none;no alternative;Ökologische Linke;35796;;0
DE;none;no alternative;Menschliche Welt;34470;;0
DE;none;no alternative;Europäische Partei Liebe;33160;;0
DE;none;no alternative;Die Violetten;27784;;0
DE;none;no alternative;Demokratie Direkt;25449;;0
DE;none;no alternative;Die Rechte;24598;;0
DE;none;no alternative;Deutsche Kommunistische Partei;20396;;0
DE;none;no alternative;Marxistisch-Leninistische Partei Deutschlands;18342;;0
DE;none;no alternative;Neue Liberale;15909;;0
DE;none;no alternative;Der dritte Weg;12756;;0
DE;none;no alternative;Sozialistische Gleichheitspartei;5283;;0
FR;ID;no alternative;Prenez le pouvoir, liste soutenue par Marine Le Pen;5286939;;23
FR;RENEW;no alternative;Renaissance soutenue par La République en marche, le MoDem et ses partenaires;5079015;;23
FR;Greens;EGP;Europe Écologie;3055023;;13
FR;EPP;no alternative;Union de la droite et du centre;1920407;;8
FR;Left;no alternative;La France insoumise;1428548;;6
FR;PES;no alternative;Envie d'Europe écologique et sociale;1403170;;6
FR;none;no alternative;Le courage de défendre les Français avec Nicolas Dupont-Aignan. Debout la France ! – CNIP;795508;;0
FR;Greens;DiEM25;Liste citoyenne du Printemps européen avec Benoît Hamon soutenue par Génération.s et DéME-DiEM25;741772;;0
FR;RENEW;ALDE;Les Européens;566057;;0
FR;Left;no alternative;Pour l'Europe des gens, contre l'Europe de l'argent;564949;;0
FR;APEU;no alternative;Parti animaliste;490074;;0
FR;none;no alternative;Urgence écologie;412136;;0
FR;none;no alternative;Ensemble pour le Frexit;265469;;0
FR;none;no alternative;Lutte ouvrière – contre le grand capital, le camp des travailleurs;176339;;0
FR;none;no alternative;Ensemble Patriotes et Gilets jaunes : pour la France, sortons de l'Union européenne !;147140;;0
FR;none;no alternative;Alliance jaune, la révolte par le vote;121209;;0
FR;none;no alternative;Les oubliés de l'Europe – artisans, commerçants, professions libérales et indépendants – ACPLI;51240;;0
FR;Greens;EUPP;Parti pirate;30105;;0
FR;none;no alternative;Union pour une Europe au service des peuples;28469;;0
FR;none;no alternative;Espéranto – langue commune équitable pour l'Europe;18587;;0
FR;none;no alternative;Parti fédéraliste européen – Pour une Europe qui protège ses citoyens;12146;;0
FR;none;no alternative;Décroissance 2019;10352;;0
FR;none;no alternative;Allons enfants;8062;;0
FR;none;no alternative;À voix égales;7825;;0
FR;none;no alternative;PACE – Parti des citoyens européens;6663;;0
FR;none;no alternative;Mouvement pour l'initiative citoyenne;5882;;0
FR;none;no alternative;Union démocratique pour la liberté, égalité, fraternité;4912;;0
FR;none;no alternative;Liste de la reconquête;4569;;0
FR;none;no alternative;Une France royale au cœur de l'Europe;3150;;0
FR;none;no alternative;Démocratie représentative;3084;;0
FR;none;no alternative;Évolution citoyenne;2061;;0
FR;none;no alternative;La ligne claire;1578;;0
FR;none;no alternative;Parti révolutionnaire Communistes;1413;;0
FR;none;no alternative;Neutre et actif;1321;;0
IT;ID;no alternative;Lega Salvini Premier;9175208;;29
IT;PES;no alternative;Partito Democratico - Siamo Europei;6089853;;19
IT;none;no alternative;Movimento 5 Stelle;4569089;;14
IT;EPP;no alternative;Forza Italia;2351673;;7
IT;ECR;no alternative;Fratelli d'Italia;1726189;;6
IT;RENEW;ALDE;+Europa - Italia in Comune - PDE Italia;833443;;0
IT;Greens;EGP;Europa Verde;621492;;0
IT;Left;no alternative;La Sinistra;469943;;0
IT;INITIATIVE;no alternative;Partito Comunista;235542;;0
IT;APEU;no alternative;Partito Animalista Italiano;160270;;0
IT;EPP;no alternative;Südtiroler Volkspartei;142185;;1
IT;EPP;no alternative;Il Popolo della Famiglia - Alternativa Popolare;114531;;0
IT;none;no alternative;CasaPound Italia - Destre Unite;89142;;0
IT;EPP;no alternative;Popolari per l'Italia;80553;;0
IT;Greens;EUPP;Partito Pirata;60809;;0
IT;none;no alternative;Forza Nuova;41077;;0
IT;Greens;EFA;Autonomie per l'Europa;17692;;0
IT;none;no alternative;Partito Pensiero e Azione;5041;;0
ES;PES;no alternative;Partido Socialista Obrero Español;7369789;;21
ES;EPP;no alternative;Partido Popular;4519205;;13
ES;RENEW;ALDE;Ciudadanos-Partido de la Ciudadanía;2731825;;8
ES;Left;no alternative;Unidas Podemos Cambiar Europa;2258857;;6
ES;ECR;no alternative;Vox;1393684;;4
ES;Greens;EFA;Ahora Repúblicas;1252139;;3
ES;none;no alternative;Lliures per Europa;1018435;;3
ES;RENEW;EDP;Coalición por una Europa Solidaria;633090;;1
ES;Greens;EFA;Compromiso por Europa;296491;;0
ES;APEU;no alternative;Partido Animalista Contra el Maltrato Animal;295546;;0
ES;none;no alternative;Coalición Verde-Europa Ciudadana;65504;;0
ES;none;no alternative;Recortes Cero-Los Verdes-Grupo Verde Europeo;50002;;0
ES;Greens;VOLT;Volt Europa;32432;;0
ES;none;no alternative;Iniciativa Feminista;29276;;0
ES;INITIATIVE;no alternative;PCPE-PCPC-PCPA;28508;;0
ES;Greens;DiEM25;Actúa;25528;;0
ES;Greens;EFA;Andalucía por Sí;23995;;0
ES;none;no alternative;Por Un Mundo Más Justo;21584;;0
ES;INITIATIVE;no alternative;Partido Comunista de los Trabajadores de España;19080;;0
ES;Greens;EUPP;Pirates de Catalunya-European Pirates;16755;;0
ES;none;no alternative;Centristas por Europa;15615;;0
ES;none;no alternative;Foro de Ciudadanos;14175;;0
ES;none;no alternative;Izquierda en Positivo;12939;;0
ES;none;no alternative;Contigo Somos Democracia:;12430;;0
ES;none;no alternative;Extremeños PREX CREX;11894;;0
ES;none;no alternative;FE de las JONS, Alternativa Española, La Falange, Democracia Nacional;11699;;0
ES;none;no alternative;Alternativa Republicana;11076;;0
ES;none;no alternative;Igualdad Real;9076;;0
ES;none;no alternative;Movimiento Corriente Roja;8402;;0
ES;none;no alternative;Partido Humanista;7947;;0
ES;none;no alternative;Movimiento Independiente Euro Latino;6809;;0
ES;none;no alternative;Solidaridad y Autogestión Internacionalista;5543;;0
PL;ECR;no alternative;Prawo i Sprawiedliwość;6192780;;27
PL;coalition;no alternative;Koalicja Europejska;5249935;coalition devided by seats;0
PL;EPP;no alternative;Platforma Obywatelska;3340868;;14
PL;EPP;no alternative;Polskie Stronnictwo Ludowe ;1193167;;3
PL;PES;no alternative;Sojusz Lewicy Demokratycznej ;715900;;5
PL;PES;no alternative;Wiosna;826975;;3
PL;none;no alternative;Konfederacja;621188;;0
PL;none;no alternative;Kukiz'15;503564;;0
PL;none;no alternative;Lewica Razem;168745;;0
PL;none;no alternative;Polska Fair Play;74013;;0
PL;ID;no alternative;PolEXIT – Koalicja;7900;;0
PL;none;no alternative;Jedność Narodu;2211;;0
RO;EPP;no alternative;Partidul Național Liberal;2449068;;10
RO;PES;no alternative;Partidul Social Democrat;2040765;;9
RO;RENEW;ALDE;Alianța 2020 USR-PLUS (USR-PLUS);2028236;;8
RO;PES;no alternative;Pro România;583916;;2
RO;EPP;no alternative;Partidul Mișcarea Populară;522104;;2
RO;EPP;no alternative;Uniunea Democrată Maghiară din România;476777;;2
RO;RENEW;ALDE;Alianța Liberalilor și Democraților;372760;;0
RO;none;no alternative;Uniunea Națională pentru Progresul României;54942;;0
RO;none;no alternative;Partidul Prodemo;53351;;0
RO;none;no alternative;Partidul România Unită;51787;;0
RO;Left;no alternative;Partidul Socialist Român;40435;;0
RO;none;no alternative;Partidul Social Democrat Independent;26439;;0
RO;none;no alternative;Blocul Unității Naționale;20411;;0
RO;none;no alternative;Independents;348831;;0
NL;PES;no alternative;Partij van de Arbeid;1045274;;6
NL;RENEW;ALDE;Volkspartij voor Vrijheid en Democratie;805100;;5
NL;EPP;no alternative;Christen-Democratisch Appèl;669555;;4
NL;none;no alternative;Forum voor Democratie;602507;;4
NL;Greens;EGP;GroenLinks;599283;;3
NL;RENEW;ALDE;Democraten 66;389692;;2
NL;ECPM;no alternative;ChristenUnie – SGP;375660;;2
NL;APEU;no alternative;Partij voor de Dieren;220938;;1
NL;none;no alternative;50PLUS;215199;;1
NL;ID;no alternative;Partij voor de Vrijheid;194178;;1
NL;none;no alternative;Socialistische Partij;185224;;0
NL;Greens;VOLT;Volt Nederland;106004;;0
NL;none;no alternative;Denk;60669;;0
NL;Greens;EUPP;VandeRegio & Piratenpartij;10692;;0
NL;none;no alternative;De Groenen;9546;;0
NL;none;no alternative;Jezus Leeft;8292;;0
BE-FRA;PES;no alternative;Parti socialiste;651157;;2
BE-FRA;Greens;EGP;Ecolo;485655;;2
BE-FRA;RENEW;ALDE;Mouvement réformateur;470654;;2
BE-FRA;Left;no alternative;Parti du travail de Belgique;355883;;1
BE-FRA;EPP;no alternative;Centre démocrate humaniste;218078;;1
BE-FRA;none;no alternative;DéFI;144555;;0
BE-FRA;none;no alternative;Parti populaire;113793;;0
BE-NED;ECR;EFA;Nieuw-Vlaamse Alliantie;954048;;3
BE-NED;ID;no alternative;Vlaams Belang;811169;;3
BE-NED;RENEW;ALDE;Open VLD;678051;;2
BE-NED;EPP;no alternative;Christen-Democratisch en Vlaams;617651;;2
BE-NED;Greens;EGP;Groen;525908;;1
BE-NED;PES;no alternative;Socialistische Partij Anders;434002;;1
BE-NED;Left;no alternative;Partij van de Arbeid van België;210391;;0
BE-NED;Greens;VOLT;Volt België;20385;;0
BE-DEU;EPP;no alternative;Christlich Soziale Partei;14247;;1
BE-DEU;Greens;EGP;Ecolo;6675;;0
BE-DEU;none;no alternative;ProDG;5360;;0
BE-DEU;RENEW;ALDE;Partei für Freiheit und Fortschritt;4684;;0
BE-DEU;PES;no alternative;Sozialistische Partei;4655;;0
BE-DEU;none;no alternative;Vivant;4550;;0
BE-DEU;APEU;no alternative;DierAnimal;606;;0
CZ;RENEW;ALDE;ANO 2011;502343;;6
CZ;ECR;no alternative;Občanská demokratická strana;344885;;4
CZ;Greens;EUPP;Česká pirátská strana;330844;;3
CZ;EPP;no alternative;STAN a TOP 09;276220;;3
CZ;ID;no alternative;Svoboda a přímá demokracie;216718;;2
CZ;EPP;no alternative;Křesťanská a demokratická unie – Československá strana lidová;171723;;2
CZ;Left;no alternative;Komunistická strana Čech a Moravy;164624;;1
CZ;PES;no alternative;Česká strana sociálně demokratická;93664;;0
CZ;none;no alternative;HLAS;56449;;0
CZ;none;no alternative;ANO, vytrollíme europarlament;37046;;0
CZ;none;no alternative;Vědci pro Českou republiku;19492;;0
CZ;none;no alternative;Rozumní a Národní demokracie;18715;;0
CZ;none;no alternative;Svobodní a Radostné Česko;15492;;0
