CC;European list coalition;alternative;national party;votes;comment;seats
AT;PfE;no alternative;Freiheitliche Partei Österreichs – Die Freiheitlichen;893754;;6
AT;EPP;no alternative;Österreichische Volkspartei;864072;;5
AT;PES;no alternative;Sozialdemokratische Partei Österreichs;818287;;5
AT;Greens;EGP;Die Grünen – Die Grüne Alternative;390503;;2
AT;RENEW;ALDE;NEOS – Das neue Europa;357214;;2
AT;Left;no alternative;Kommunistische Partei Österreichs – KPÖ Plus;104245;;0
AT;none;no alternative;DNA – Demokratisch – Neutral – Authentisch;95859;;0
BE-NED;PfE;no alternative;Vlaams Belang;1034112;;3
BE-NED;ECR;EFA;Nieuw-Vlaamse Alliantie;995868;;3
BE-NED;EPP;no alternative;Christen-Democratisch en Vlaams;594968;;2
BE-NED;PES;no alternative;Vooruit;570067;;2
BE-NED;Greens;EGP;Groen;450781;;1
BE-NED;RENEW;ALDE;Open Vlaamse Liberalen en Democraten;410743;;1
BE-NED;Left;no alternative;Partij van de Arbeid van België;366285;;1
BE-NED;none;no alternative;Voor U;47243;;0
BE-NED;Greens;VOLT;Volt België;38713;;0
BE-FRA;RENEW;ALDE;Mouvement Réformateur;900413;;3
BE-FRA;PES;no alternative;Parti Socialiste;529697;;2
BE-FRA;Left;no alternative;Parti du travail de Belgique;397055;;1
BE-FRA;RENEW;EDP;Les Engagés;368668;;1
BE-FRA;Greens;EGP;Ecolo;259745;;1
BE-FRA;none;no alternative;DéFI;75243;;0
BE-FRA;none;no alternative;Gauche anticapitaliste;50578;;0
BE-DEU;EPP;no alternative;Christlich Soziale Partei;15169;;1
BE-DEU;none;no alternative;ProDG;7134;;0
BE-DEU;RENEW;ALDE;Perspektiven, Freiheit, Fortschritt;5891;;0
BE-DEU;none;no alternative;Vivant;5281;;0
BE-DEU;PES;no alternative;Sozialistische Partei;5131;;0
BE-DEU;Greens;EGP;Ecolo;4819;;0
BG;EPP;no alternative;ГЕРБ – СДС;474059;;5
BG;RENEW;ALDE;Движението за права и свободи;295092;;3
BG;coalition;no alternative;PP–DB;290865;Split by won seats;0
BG;RENEW;no alternative;Продължаваме промяната;193910;;2
BG;EPP;no alternative;Демократична България;96955;;1
BG;Greens;VOLT;Волт България;0;;0
BG;ESN;no alternative;Възраждане;281434;;3
